Parametro,Fuente,Anio,Mes,Cve_OOAD,Nombre_OOAD,Cve_Presupuestal,Nombre_Unidad,Sexo,Grupo_edad,Dato
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,00 a 04,106
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,05 a 09,170
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,10 a 14,499
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,15 a 19,563
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,20 a 24,364
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,25 a 29,482
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,30 a 34,773
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,35 a 39,1230
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,40 a 44,2226
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,45 a 49,3662
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,50 a 54,5442
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,55 a 59,7443
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,60 a 64,7491
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,65 a 69,6725
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,70 a 74,5364
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,75 a 79,3418
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,80 a 84,1679
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,0,85 y mas,1031
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,1,00 a 04,57
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,1,05 a 09,84
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,1,10 a 14,211
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,1,15 a 19,277
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,1,20 a 24,162
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,1,25 a 29,193
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,1,30 a 34,334
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,1,35 a 39,590
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,1,40 a 44,1025
Consulta_ESP,SUI27,2014,1,00,Nacional,00,Total Nacional,1,45 a 49,1730
